1,4,8,16,32,64,128,256,512,1024
0,1.000,0.750,0.750,1.000,1.500,1.000,0.750,0.750,0.750,0.750
16,1.912,1.074,0.941,0.926,0.985,0.985,1.000,1.485,1.735,1.721
32,1.924,1.038,0.939,0.962,1.136,1.045,1.053,1.606,1.826,4.303
48,2.026,1.046,1.061,1.459,1.143,1.036,1.041,1.597,1.852,4.673
64,2.038,1.027,1.031,1.688,1.277,1.050,1.062,1.635,1.869,4.765
80,2.043,1.031,1.157,1.691,1.340,1.040,1.151,1.617,1.877,4.170
96,2.052,1.021,1.291,1.716,1.557,1.072,1.059,1.662,1.889,3.985
112,2.126,1.018,1.367,1.739,1.668,1.208,1.159,1.635,1.889,4.363
128,2.087,1.157,1.405,1.727,1.791,1.395,1.329,1.651,1.897,4.467
144,2.009,1.291,1.438,1.750,1.810,1.502,1.459,1.629,1.847,14.859
160,2.081,1.393,1.489,1.660,1.818,1.649,1.752,1.651,1.880,17.020
176,1.941,1.444,1.511,1.760,1.787,1.694,1.665,1.716,1.809,17.095
192,1.942,1.494,1.576,1.769,1.858,1.789,1.639,1.766,1.900,16.777
208,2.111,1.684,1.639,1.772,1.900,1.818,1.804,1.681,1.872,16.413
224,1.977,1.652,1.657,1.681,1.898,1.749,1.683,1.638,1.749,18.854
240,2.119,1.606,1.752,1.867,1.801,1.837,1.815,1.649,1.845,16.051
256,2.033,1.584,1.829,1.708,1.714,1.698,1.762,1.754,1.922,17.759
272,2.168,1.763,1.655,1.668,1.787,1.728,1.776,1.787,5.429,17.646
288,2.142,1.679,1.682,1.708,1.949,1.952,1.888,1.699,9.330,15.715
304,1.989,1.653,1.713,1.711,1.714,1.839,1.820,1.693,8.502,15.947
320,1.953,1.629,1.919,1.670,1.807,1.905,2.058,1.761,8.418,19.132
336,1.911,1.681,1.828,1.616,1.891,1.782,1.969,1.892,9.678,15.574
352,1.906,1.664,1.801,1.676,1.728,2.009,1.819,1.843,11.420,16.197
368,2.159,1.718,1.631,1.657,2.007,2.007,1.769,1.810,8.761,16.650
384,1.809,1.715,1.924,1.672,1.758,1.873,1.855,1.901,9.045,15.374
400,2.042,1.680,1.796,1.633,1.731,2.091,1.802,1.905,9.044,16.694
416,1.929,1.709,1.677,1.665,1.783,1.784,1.744,1.929,10.104,15.676
432,1.865,1.987,1.730,1.695,1.744,1.851,1.859,2.175,9.416,16.051
448,2.087,1.744,1.766,1.669,1.798,1.952,1.787,2.056,9.748,15.595
464,2.095,1.680,1.795,1.690,1.862,2.058,1.745,1.996,8.791,16.589
480,2.203,1.680,1.945,1.941,1.762,1.800,1.998,1.930,9.347,15.304
496,1.911,1.988,1.821,1.955,1.960,1.835,1.944,1.822,9.388,15.513
512,2.198,1.991,2.015,1.692,1.945,1.912,1.799,2.442,8.829,15.225
528,1.835,1.731,1.934,1.981,2.146,2.484,1.957,3.171,9.216,15.275
544,1.808,1.863,1.713,2.211,2.256,2.654,1.855,4.199,10.154,15.654
560,1.756,1.912,1.985,2.350,2.357,3.253,2.086,5.193,8.766,15.962
576,2.273,1.701,1.720,2.655,2.490,3.069,2.132,6.285,10.238,16.802
592,1.782,1.751,1.729,3.705,3.601,3.253,2.323,6.715,8.417,15.347
608,1.891,1.720,1.758,3.805,2.794,3.606,2.204,5.376,8.621,14.965
624,1.766,1.891,1.667,3.716,2.877,4.161,2.844,5.871,8.699,16.741
640,1.751,2.029,1.872,3.418,3.065,4.208,2.771,5.466,9.048,15.546
656,1.976,1.645,2.096,3.669,3.092,3.387,3.251,6.191,9.653,16.198
672,1.764,2.101,1.655,3.817,3.725,3.517,3.392,5.564,8.593,16.877
688,1.808,1.628,1.704,3.438,4.431,3.459,3.405,6.155,8.624,16.575
704,1.859,1.800,2.102,3.782,3.709,3.461,3.882,6.494,9.219,15.908
720,1.735,2.163,1.994,3.215,3.759,4.780,3.746,5.258,8.549,15.927
736,1.782,1.727,1.797,3.287,3.710,3.724,3.532,5.457,9.449,15.705
752,1.739,2.049,1.986,3.868,4.220,4.463,3.457,6.006,8.729,14.925
768,1.936,1.632,1.882,3.717,3.951,4.495,4.262,5.857,8.802,15.288
784,1.741,1.982,1.716,3.760,4.368,3.758,3.515,5.454,8.614,14.952
800,1.747,1.733,1.661,3.746,4.196,3.712,4.063,6.264,8.812,15.330
816,1.858,1.717,1.938,3.398,4.376,3.973,3.536,5.667,8.629,15.213
832,1.750,2.071,1.640,3.270,4.309,4.055,3.922,5.293,8.419,15.527
848,2.226,2.145,1.643,3.764,3.655,3.592,3.976,5.215,8.825,15.431
864,1.756,1.743,1.640,3.594,3.618,3.592,4.079,5.213,8.710,15.231
880,1.887,2.046,1.621,3.506,4.825,4.256,4.382,5.507,8.677,15.777
896,2.222,1.756,1.612,3.630,3.537,3.515,3.452,5.258,8.314,16.572
912,2.257,1.642,1.659,4.326,3.684,3.567,3.710,5.728,8.615,15.697
928,1.856,1.648,1.804,3.812,4.459,3.782,4.337,5.856,8.298,15.523
944,2.162,1.628,1.624,3.310,4.399,3.752,3.581,5.386,8.573,15.889
960,1.729,1.679,1.672,3.490,4.238,4.390,3.602,5.145,8.361,15.199
976,1.817,2.058,1.656,3.453,4.252,4.188,4.209,5.881,9.201,15.476
992,1.849,1.627,1.868,3.346,3.538,4.062,3.592,5.348,9.226,15.956
1008,1.861,2.038,1.881,3.441,3.670,4.106,4.091,5.536,9.045,16.051
1024,1.983,1.816,2.196,3.613,3.631,3.785,4.729,6.146,9.242,15.889
