0,4,8,16,32,64
128,2.016,2.016,1.078,1.688,1.711
256,1.934,1.910,1.688,1.734,1.699
384,1.898,1.867,1.695,1.719,1.695
512,1.852,1.828,1.711,1.711,1.717
640,1.866,1.880,1.753,1.706,3.450
768,1.848,1.816,1.703,1.703,3.359
896,1.825,1.815,1.701,1.701,3.378
1024,1.811,1.811,1.699,1.708,3.475
1152,1.810,1.810,1.698,1.956,10.612
1280,1.807,1.807,1.697,2.154,10.305
1408,1.807,1.807,1.696,2.152,10.278
1536,1.805,1.859,1.695,2.154,10.303
1664,1.805,1.857,1.695,2.151,10.597
1792,1.803,1.803,1.749,2.146,10.264
1920,1.803,1.803,1.694,2.200,10.272
2048,1.802,1.802,1.698,2.237,10.279
2176,1.802,1.802,1.821,6.434,10.270
2304,1.799,1.801,1.855,10.189,10.270
2432,1.801,1.801,1.844,10.203,10.258
2560,1.806,1.800,1.884,10.202,10.243
2688,1.800,1.800,1.883,10.218,10.239
2816,1.811,1.799,1.893,10.202,10.230
2944,1.822,1.855,1.893,10.206,10.235
3072,1.825,1.854,1.892,10.200,10.250
3200,1.816,1.799,1.891,10.203,10.231
3328,1.822,1.798,1.891,10.200,10.292
3456,1.818,1.818,1.891,10.192,10.242
3584,1.816,1.833,1.948,10.192,10.237
3712,1.817,1.831,1.891,10.196,10.266
3840,1.815,1.833,1.932,10.187,10.273
3968,1.825,1.898,1.930,10.192,10.282
4096,1.822,1.926,1.970,10.202,10.299
4224,2.590,3.124,4.211,10.190,10.555
4352,3.297,4.312,6.285,10.195,10.783
4480,3.965,5.409,8.277,10.193,11.013
4608,4.602,6.447,10.107,10.186,11.283
4736,5.204,7.451,10.143,10.195,11.329
4864,5.758,8.394,10.140,10.190,11.215
4992,6.299,9.297,10.022,10.181,11.233
5120,6.811,10.138,10.134,10.184,11.262
5248,7.295,10.059,10.143,10.187,11.276
5376,7.759,9.997,10.141,10.185,11.295
5504,8.202,10.133,10.144,10.186,11.308
5632,8.623,10.093,10.143,10.193,11.324
5760,9.026,10.139,10.142,10.162,11.294
5888,9.413,10.137,10.141,10.182,11.348
6016,9.640,10.076,10.145,10.180,11.356
6144,10.129,10.138,10.142,10.206,11.370
6272,10.010,10.136,10.137,10.184,11.300
6400,10.102,10.138,10.141,10.189,11.359
6528,10.132,10.125,10.141,10.183,11.348
6656,10.128,10.137,10.141,10.190,11.416
6784,10.127,10.127,10.141,10.191,11.379
6912,10.132,10.137,10.140,10.191,11.336
7040,10.131,10.137,10.141,10.207,11.410
7168,10.133,10.135,10.142,10.197,11.345
7296,10.014,10.136,10.141,10.182,11.369
7424,10.131,10.136,10.141,10.191,11.370
7552,10.087,10.137,10.140,10.228,11.459
7680,10.131,10.136,10.141,10.197,11.344
7808,10.132,10.136,10.140,10.191,11.348
7936,10.134,10.133,10.140,10.195,11.490
8064,10.133,10.136,10.140,10.181,11.400
8192,10.133,10.136,10.140,10.199,11.377
