,4,8,16,32,64
128,2.016,1.992,1.078,1.617,1.758
256,1.922,1.875,1.500,1.734,1.664
384,1.828,1.852,1.680,1.703,1.688
512,1.875,1.822,1.711,1.699,1.711
640,1.842,1.823,1.702,1.697,3.333
768,1.828,1.816,1.695,1.695,3.355
896,1.815,1.808,1.694,1.808,3.362
1024,1.811,1.805,1.693,1.705,3.404
1152,1.805,1.805,1.693,1.953,10.036
1280,1.807,1.786,1.692,2.152,10.280
1408,1.805,1.922,1.694,2.152,10.246
1536,1.805,1.801,1.691,2.148,10.273
1664,1.805,1.805,1.695,2.147,10.257
1792,1.800,1.803,1.682,2.143,10.230
1920,1.800,1.800,1.803,2.166,10.311
2048,1.786,1.802,1.695,2.213,10.258
2176,1.920,1.799,1.769,6.378,10.282
2304,1.801,1.798,1.799,9.350,10.257
2432,1.800,1.799,1.843,10.031,10.375
2560,1.798,1.799,1.883,10.192,10.257
2688,1.798,1.800,1.883,10.198,10.308
2816,1.808,1.797,1.884,10.200,10.284
2944,1.820,1.798,1.882,10.201,10.245
3072,1.824,1.799,1.883,10.225,10.241
3200,1.823,1.803,1.883,10.207,10.260
3328,1.819,1.798,1.890,10.196,10.258
3456,1.821,1.808,1.891,10.199,10.247
3584,1.816,1.955,1.891,10.194,10.257
3712,1.814,1.831,1.894,10.214,10.249
3840,1.820,1.833,1.929,10.180,10.284
3968,1.822,1.847,1.932,10.189,10.282
4096,1.945,1.868,1.964,10.203,10.274
4224,2.585,3.121,4.209,10.225,10.543
4352,3.298,4.308,6.265,10.208,10.814
4480,3.971,5.407,7.944,10.197,11.062
4608,4.607,6.447,9.830,10.191,11.198
4736,5.200,7.169,9.899,10.211,11.223
4864,5.758,8.373,9.847,10.183,11.299
4992,6.299,9.291,10.004,10.183,11.233
5120,6.825,9.976,10.129,10.221,11.242
5248,7.302,10.000,10.099,10.214,11.278
5376,7.766,10.017,10.133,10.204,11.246
5504,8.205,10.044,10.123,10.203,11.393
5632,8.630,10.070,10.118,10.203,11.342
5760,9.027,10.097,10.144,10.178,11.359
5888,9.414,10.065,10.142,10.216,11.321
6016,9.640,10.104,10.142,10.177,11.364
6144,9.928,10.127,10.141,10.194,11.358
6272,10.094,10.124,10.135,10.207,11.343
6400,9.880,10.140,10.143,10.208,11.368
6528,10.080,10.137,10.142,10.208,11.355
6656,10.052,10.136,10.143,10.199,11.341
6784,9.922,10.137,10.142,10.190,11.295
6912,9.904,10.135,10.138,10.195,11.366
7040,10.114,10.138,10.140,10.204,11.351
7168,9.982,10.138,10.143,10.189,11.394
7296,9.972,10.127,10.134,10.205,11.366
7424,9.928,10.138,10.140,10.190,11.331
7552,10.037,10.136,10.141,10.189,11.333
7680,10.044,10.136,10.140,10.201,11.330
7808,10.049,10.135,10.141,10.194,11.407
7936,10.081,10.135,10.141,10.200,11.358
8064,10.134,10.137,10.138,10.193,11.413
8192,10.130,10.136,10.138,10.189,11.395
