Run,Success Rate (%),Success Count,Total Bytes
1,87.50,35,40
2,92.50,37,40
3,95.00,38,40
4,62.50,25,40
5,32.50,13,40
6,95.00,38,40
7,15.00,6,40
8,100.00,40,40
9,27.50,11,40
10,85.00,34,40
11,100.00,40,40
12,100.00,40,40
13,32.50,13,40
14,100.00,40,40
15,100.00,40,40
16,27.50,11,40
17,55.00,22,40
18,32.50,13,40
19,90.00,36,40
20,72.50,29,40
21,92.50,37,40
22,50.00,20,40
23,75.00,30,40
24,60.00,24,40
25,95.00,38,40
26,92.50,37,40
27,55.00,22,40
28,25.00,10,40
29,40.00,16,40
30,72.50,29,40
31,90.00,36,40
32,92.50,37,40
33,85.00,34,40
34,85.00,34,40
35,95.00,38,40
36,100.00,40,40
37,27.50,11,40
38,92.50,37,40
39,97.50,39,40
40,100.00,40,40
41,90.00,36,40
42,87.50,35,40
43,32.50,13,40
44,17.50,7,40
45,37.50,15,40
46,45.00,18,40
47,70.00,28,40
48,97.50,39,40
49,57.50,23,40
50,95.00,38,40
51,97.50,39,40
52,82.50,33,40
53,100.00,40,40
54,50.00,20,40
55,100.00,40,40
56,62.50,25,40
57,30.00,12,40
58,85.00,34,40
59,100.00,40,40
60,92.50,37,40
61,90.00,36,40
62,60.00,24,40
63,45.00,18,40
64,27.50,11,40
65,65.00,26,40
66,47.50,19,40
67,97.50,39,40
68,22.50,9,40
69,100.00,40,40
70,55.00,22,40
71,87.50,35,40
72,35.00,14,40
73,97.50,39,40
74,55.00,22,40
75,22.50,9,40
76,100.00,40,40
77,22.50,9,40
78,65.00,26,40
79,55.00,22,40
80,70.00,28,40
81,52.50,21,40
82,90.00,36,40
83,87.50,35,40
84,20.00,8,40
85,85.00,34,40
86,27.50,11,40
87,82.50,33,40
88,80.00,32,40
89,82.50,33,40
90,80.00,32,40
91,70.00,28,40
92,87.50,35,40
93,72.50,29,40
94,45.00,18,40
95,42.50,17,40
96,25.00,10,40
97,100.00,40,40
98,75.00,30,40
99,65.00,26,40
100,67.50,27,40
